id,published,name,gh_owner,gh_repo,purl,severity,categories,introduced_version,patched_version,dependents
RUSTSEC-2023-0017,2023-03-04T12:00:00Z,maligned,tylerhawkes,maligned,pkg:cargo/maligned,[],['memory-corruption'],0.0.0-0,,"{'reductionist': {'downloads': 39, 'github_url': 'https://github.com/markgoddard', 'version': '0.8.2'}}"
RUSTSEC-2020-0042,2020-09-24T12:00:00Z,stack,arcnmx,stack-rs,pkg:cargo/stack,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H'}]",[],0.0.0-0,0.3.1,{}
RUSTSEC-2021-0009,2021-01-10T12:00:00Z,basic_dsp_matrix,liebharc,basic_dsp,pkg:cargo/basic_dsp_matrix,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",['memory-corruption'],0.0.0-0,0.9.2,"{'basic_dsp': {'downloads': 183, 'github_url': 'https://github.com/liebharc', 'version': '0.10.0'}}"
RUSTSEC-2020-0150,2020-12-17T12:00:00Z,disrustor,sklose,disrustor,pkg:cargo/disrustor,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H'}]","['memory-corruption', 'thread-safety']",0.0.0-0,0.3.0,{}
RUSTSEC-2023-0040,2023-06-01T12:00:00Z,users,ogham,rust-users,pkg:cargo/users,[],[],0.0.0-0,,"{'exa': {'downloads': 126112, 'github_url': 'https://github.com/ogham', 'version': '0.10.1'}, 'scriptisto': {'downloads': 201, 'github_url': 'https://github.com/igor-petruk', 'version': '2.1.1'}, 'fselect': {'downloads': 726, 'github_url': 'https://github.com/jhspetersson', 'version': '0.8.4'}, 'remotefs-ssh': {'downloads': 2917, 'github_url': 'https://github.com/veeso', 'version': '0.2.1'}, 'is-root': {'downloads': 3359, 'github_url': 'https://github.com/thecaralice', 'version': '0.1.3'}, 'lsd': {'downloads': 6946, 'github_url': 'https://github.com/zwpaper', 'version': '1.0.0'}, 'solana-sys-tuner': {'downloads': 170, 'github_url': 'https://github.com/solana-grimes', 'version': '1.14.29'}, 'fd-find': {'downloads': 17813, 'github_url': 'https://github.com/tmccombs', 'version': '8.7.1'}, 'pam': {'downloads': 63, 'github_url': 'https://github.com/1wilkens', 'version': '0.8.0'}, 'test-with': {'downloads': 702, 'github_url': 'https://github.com/yanganto', 'version': '0.12.1'}}"
RUSTSEC-2020-0015,2020-04-25T12:00:00Z,openssl-src,,,pkg:cargo/openssl-src,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",['denial-of-service'],111.6.0,111.9.0,"{'datachannel-sys': {'downloads': 95, 'github_url': 'https://github.com/lerouxrgd', 'version': '0.19.1'}, 'openssl-sys': {'downloads': 351159, 'github_url': 'https://github.com/alex', 'version': '0.9.96'}, 'tongsuo-sys': {'downloads': 489, 'github_url': 'https://github.com/zh-jq', 'version': '0.9.96'}, 'summa-core': {'downloads': 32, 'github_url': 'https://github.com/ppodolsky', 'version': '0.22.7'}}"
RUSTSEC-2020-0146,2020-04-09T12:00:00Z,generic-array,fizyk20,generic-array,pkg:cargo/generic-array,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",['memory-corruption'],0.13.0,0.13.3,"{'crypto-mac': {'downloads': 16975430, 'github_url': 'https://github.com/newpavlov', 'version': '0.11.1'}, 'inout': {'downloads': 15511048, 'github_url': 'https://github.com/newpavlov', 'version': '0.1.3'}, 'crypto-common': {'downloads': 52734354, 'github_url': 'https://github.com/tarcieri', 'version': '0.1.6'}, 'block-buffer': {'downloads': 28878845, 'github_url': 'https://github.com/newpavlov', 'version': '0.10.4'}, 'block-padding': {'downloads': 1962090, 'github_url': 'https://github.com/newpavlov', 'version': '0.3.3'}, 'aead': {'downloads': 4696246, 'github_url': 'https://github.com/tarcieri', 'version': '0.5.2'}, 'sec1': {'downloads': 2293546, 'github_url': 'https://github.com/tarcieri', 'version': '0.7.3'}, 'crypto-bigint': {'downloads': 193906, 'github_url': 'https://github.com/tarcieri', 'version': '0.5.5'}, 'elliptic-curve': {'downloads': 144011, 'github_url': 'https://github.com/tarcieri', 'version': '0.13.8'}, 'parity-scale-codec': {'downloads': 22510, 'github_url': 'https://github.com/ascjones', 'version': '3.6.9'}}"
RUSTSEC-2020-0003,2020-01-20T12:00:00Z,rust_sodium,maidsafe,rust_sodium,pkg:cargo/rust_sodium,[],[],0.0.0-0,0.10.3-0,"{'rncryptor': {'downloads': 822, 'github_url': ''}, 'secure_serialisation': {'downloads': 1235, 'github_url': ''}, 'bincrypt': {'downloads': 510, 'github_url': ''}, 'p2p': {'downloads': 562, 'github_url': ''}, 'holochain_sodium': {'downloads': 343, 'github_url': 'https://github.com/neonphog', 'version': '0.0.1-alpha1'}, 'crust': {'downloads': 3208, 'github_url': 'https://github.com/Viv-Rajkumar', 'version': '0.32.1'}, 'safe_crypto': {'downloads': 2781, 'github_url': 'https://github.com/MaidSafe-QA', 'version': '0.8.0'}, 'routing': {'downloads': 3476, 'github_url': 'https://github.com/MaidSafe-QA', 'version': '0.37.1'}, 'rust-blockchain': {'downloads': 207, 'github_url': 'https://github.com/j0fiN', 'version': '0.1.0'}, 'fcp_cryptoauth': {'downloads': 235, 'github_url': 'https://github.com/progval', 'version': '0.4.0'}}"
RUSTSEC-2023-0056,2023-09-01T12:00:00Z,vm-memory,rust-vmm,vm-memory,rust-vmm,vm-memory,pkg:cargo/vm-memory,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:L'}]",['memory-exposure'],0.0.0-0,0.12.2,"{'nydus-blobfs': {'downloads': 20648, 'github_url': 'https://github.com/jiangliu', 'version': '0.2.0'}, 'dbs-address-space': {'downloads': 6850, 'github_url': 'https://github.com/HerlinCoder', 'version': '0.3.0'}, 'dbs-arch': {'downloads': 20064, 'github_url': 'https://github.com/studychao', 'version': '0.2.3'}, 'nydus-storage': {'downloads': 21294, 'github_url': 'https://github.com/bergwolf', 'version': '0.6.4'}, 'nydus-rafs': {'downloads': 21005, 'github_url': 'https://github.com/bergwolf', 'version': '0.3.2'}, 'linux-loader': {'downloads': 89869, 'github_url': 'https://github.com/roypat', 'version': '0.10.0'}, 'fuse-backend-rs': {'downloads': 127, 'github_url': 'https://github.com/bergwolf', 'version': '0.11.0'}, 'virtio-queue': {'downloads': 6102, 'github_url': 'https://github.com/epilys', 'version': '0.10.0'}, 'vhost': {'downloads': 62569, 'github_url': 'https://github.com/stefano-garzarella', 'version': '0.9.0'}, 'vhost-user-backend': {'downloads': 5235, 'github_url': 'https://github.com/stefano-garzarella', 'version': '0.11.0'}}"
RUSTSEC-2021-0048,2021-02-19T12:00:00Z,stackvector,Alexhuszagh,rust-stackvector,pkg:cargo/stackvector,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L'}]",['memory-corruption'],0.0.0-0,1.0.9,{}
RUSTSEC-2020-0111,2020-11-10T12:00:00Z,may_queue,Xudong-Huang,may,pkg:cargo/may_queue,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H'}]","['memory-corruption', 'thread-safety']",0.0.0-0,,"{'may': {'downloads': 1778, 'github_url': 'https://github.com/Xudong-Huang', 'version': '0.3.42'}}"
RUSTSEC-2019-0029,2019-10-22T12:00:00Z,chacha20,RustCrypto,stream-ciphers,pkg:cargo/chacha20,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N'}]",['crypto-failure'],0.0.0-0,0.2.3,"{'chacha20poly1305': {'downloads': 2116793, 'github_url': 'https://github.com/tarcieri', 'version': '0.10.1'}, 'crypto_secretbox': {'downloads': 128728, 'github_url': 'https://github.com/tarcieri', 'version': '0.1.1'}, 'zcash_note_encryption': {'downloads': 63675, 'github_url': 'https://github.com/nuttycom', 'version': '0.4.0'}, 'ssh-cipher': {'downloads': 66306, 'github_url': 'https://github.com/tarcieri', 'version': '0.2.0'}, 'crypto_box': {'downloads': 32530, 'github_url': 'https://github.com/tarcieri', 'version': '0.9.1'}, 'russh': {'downloads': 7478, 'github_url': 'https://github.com/Eugeny', 'version': '0.39.0'}, 'cosmian_crypto_core': {'downloads': 8733, 'github_url': 'https://github.com/Manuthor', 'version': '9.3.0'}, 'storage-proofs-porep': {'downloads': 2711, 'github_url': 'https://github.com/cryptonemo', 'version': '16.1.0'}, 'smoldot': {'downloads': 73, 'github_url': 'https://github.com/tomaka', 'version': '0.14.0'}, 'shadowsocks-crypto': {'downloads': 575, 'github_url': 'https://github.com/zonyitoo', 'version': '0.5.3'}}"
RUSTSEC-2023-0001,2023-01-04T12:00:00Z,tokio,tokio-rs,tokio,tokio-rs,tokio,pkg:cargo/tokio,[],[],1.21.0,1.23.1,"{'tower-service': {'downloads': 44836197, 'github_url': 'https://github.com/hawkw', 'version': '0.3.2'}, 'tokio-rustls': {'downloads': 9605903, 'github_url': 'https://github.com/djc', 'version': '0.24.1'}, 'reqwest': {'downloads': 3449481, 'github_url': 'https://github.com/seanmonstar', 'version': '0.11.22'}, 'tokio-util': {'downloads': 2767730, 'github_url': 'https://github.com/Darksonn', 'version': '0.7.10'}, 'futures-util': {'downloads': 3527282, 'github_url': 'https://github.com/taiki-e', 'version': '0.3.29'}, 'futures': {'downloads': 2729791, 'github_url': 'https://github.com/taiki-e', 'version': '0.3.29'}, 'tokio-macros': {'downloads': 1576071, 'github_url': 'https://github.com/carllerche', 'version': '2.2.0'}, 'tracing-subscriber': {'downloads': 849587, 'github_url': 'https://github.com/hawkw', 'version': '0.3.18'}, 'h2': {'downloads': 36966, 'github_url': 'https://github.com/seanmonstar', 'version': '0.4.0'}, 'hyper': {'downloads': 41533, 'github_url': 'https://github.com/seanmonstar', 'version': '1.0.1'}}"
RUSTSEC-2021-0087,2021-01-07T12:00:00Z,columnar,frankmcsherry,columnar,pkg:cargo/columnar,[],['memory-exposure'],0.0.0-0,,{}
RUSTSEC-2018-0015,2018-11-19T12:00:00Z,term,Stebalien,term,pkg:cargo/term,[],[],0.0.0-0,0.6.2-0,"{'syntex_errors': {'downloads': 451933, 'github_url': ''}, 'difference': {'downloads': 18121371, 'github_url': ''}, 'ascii-canvas': {'downloads': 5964897, 'github_url': 'https://github.com/nikomatsakis', 'version': '3.0.0'}, 'parity-ws': {'downloads': 526425, 'github_url': 'https://github.com/koute', 'version': '0.11.1'}, 'ws': {'downloads': 142540, 'github_url': 'https://github.com/housleyjk', 'version': '0.9.2'}, 'slog-term': {'downloads': 4227914, 'github_url': 'https://github.com/Techcable', 'version': '2.9.0'}, 'prettytable-rs': {'downloads': 1338454, 'github_url': 'https://github.com/pinkforest', 'version': '0.10.0'}, 'tester': {'downloads': 138043, 'github_url': 'https://github.com/messense', 'version': '0.9.1'}, 'lalrpop': {'downloads': 898819, 'github_url': 'https://github.com/youknowone', 'version': '0.20.0'}, 'png': {'downloads': 1428773, 'github_url': 'https://github.com/fintelia', 'version': '0.17.10'}}"
