id,published,name,gh_owner,gh_repo,purl,severity,categories_vuln,categories_package,github_link,introduced_version,patched_version,dependents
RUSTSEC-2019-0013,2019-08-27T12:00:00Z,spin,mvdnes,spin-rs,pkg:cargo/spin,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",[],[],https://github.com/mvdnes/spin-rs.git,0.0.0-0,0.5.2,"{'wee_alloc': {'downloads': 1598578, 'github_url': 'https://github.com/rustwasm/wee_alloc', 'categories': ['embedded', 'web-programming', 'wasm', 'no-std', 'memory-management'], 'version': '0.4.5'}, 'lazy_static': {'downloads': 166579027, 'github_url': 'https://github.com/rust-lang-nursery/lazy-static.rs', 'categories': ['no-std', 'rust-patterns', 'memory-management'], 'version': '1.4.0'}, 'no-std-compat': {'downloads': 5002267, 'github_url': 'https://gitlab.com/jD91mZM2/no-std-compat', 'categories': ['no-std'], 'version': '0.4.1'}, 'reed-solomon-erasure': {'downloads': 302849, 'github_url': 'https://github.com/darrenldl/reed-solomon-erasure', 'categories': ['encoding'], 'version': '6.0.0'}, 'multer': {'downloads': 3628768, 'github_url': 'https://github.com/rousan/multer-rs', 'categories': ['web-programming', 'asynchronous'], 'version': '2.1.0'}, 'page_size': {'downloads': 105839, 'github_url': 'https://github.com/Elzair/page_size_rs', 'categories': ['os'], 'version': '0.6.0'}, 'flume': {'downloads': 1295795, 'github_url': 'https://github.com/zesterer/flume', 'categories': ['concurrency', 'data-structures'], 'version': '0.11.0'}, 'error-stack': {'downloads': 44637, 'github_url': 'https://github.com/hashintel/hash/tree/main/libs/error-stack', 'categories': ['no-std', 'rust-patterns'], 'version': '0.4.1'}, 'ring': {'downloads': 209274, 'github_url': 'https://github.com/briansmith/ring', 'categories': ['no-std', 'cryptography'], 'version': '0.17.6'}, 'wasmi': {'downloads': 292, 'github_url': 'https://github.com/paritytech/wasmi', 'categories': ['no-std', 'virtualization', 'wasm'], 'version': '0.31.1'}}"
RUSTSEC-2020-0081,2020-11-02T12:00:00Z,mio,tokio-rs,mio,pkg:cargo/mio,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H'}]",[],['asynchronous'],https://github.com/tokio-rs/mio,0.7.0,0.7.6,"{'mio-extras': {'downloads': 10012208, 'github_url': 'https://github.com/dimbleby/mio-extras', 'categories': ['asynchronous'], 'version': '2.0.6'}, 'tokio-tcp': {'downloads': 7574266, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['asynchronous'], 'version': '0.1.4'}, 'tokio-reactor': {'downloads': 7711698, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['network-programming', 'asynchronous'], 'version': '0.1.12'}, 'mio-uds': {'downloads': 11543001, 'github_url': 'https://github.com/deprecrated/mio-uds', 'categories': ['asynchronous'], 'version': '0.6.8'}, 'curl': {'downloads': 6703275, 'github_url': 'https://github.com/alexcrichton/curl-rust', 'categories': ['api-bindings', 'web-programming::http-client'], 'version': '0.4.44'}, 'crossterm': {'downloads': 763831, 'github_url': 'https://github.com/crossterm-rs/crossterm', 'categories': ['command-line-interface', 'command-line-utilities'], 'version': '0.27.0'}, 'notify': {'downloads': 930645, 'github_url': 'https://github.com/notify-rs/notify.git', 'categories': ['filesystem'], 'version': '6.1.1'}, 'actix-server': {'downloads': 1079207, 'github_url': 'https://github.com/actix/actix-net.git', 'categories': ['asynchronous', 'network-programming'], 'version': '2.3.0'}, 'tokio': {'downloads': 1850005, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['asynchronous', 'network-programming'], 'version': '1.34.0'}, 'io-lifetimes': {'downloads': 2226, 'github_url': 'https://github.com/sunfishcode/io-lifetimes', 'categories': ['os', 'rust-patterns'], 'version': '2.0.3'}}"
RUSTSEC-2016-0001,2016-11-05T12:00:00Z,openssl,sfackler,rust-openssl,pkg:cargo/openssl,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H'}]",[],"['cryptography', 'api-bindings']",https://github.com/sfackler/rust-openssl,0.0.0-0,0.9.0,"{'tokio-tls': {'downloads': 7646598, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['network-programming', 'asynchronous'], 'version': '0.3.1'}, 'tokio-openssl': {'downloads': 5624839, 'github_url': 'https://github.com/sfackler/tokio-openssl', 'categories': [], 'version': '0.6.3'}, 'sha1_smol': {'downloads': 14457434, 'github_url': 'https://github.com/mitsuhiko/sha1-smol', 'categories': [], 'version': '1.0.0'}, 'zuse': {'downloads': 412, 'github_url': 'https://github.com/19h/zuse', 'categories': [], 'version': '0.5.0'}, 'native-tls': {'downloads': 21046409, 'github_url': 'https://github.com/sfackler/rust-native-tls', 'categories': [], 'version': '0.2.11'}, 'tokio-native-tls': {'downloads': 15101768, 'github_url': 'https://github.com/tokio-rs/tls', 'categories': ['network-programming', 'asynchronous'], 'version': '0.3.1'}, 'awc': {'downloads': 132244, 'github_url': 'https://github.com/actix/actix-web.git', 'categories': ['network-programming', 'asynchronous', 'web-programming::websocket', 'web-programming::http-client'], 'version': '3.2.0'}, 'actix-tls': {'downloads': 304085, 'github_url': 'https://github.com/actix/actix-net.git', 'categories': ['asynchronous', 'cryptography', 'network-programming'], 'version': '3.1.1'}, 'rcgen': {'downloads': 186901, 'github_url': 'https://github.com/est31/rcgen', 'categories': [], 'version': '0.11.3'}, 'trust-dns-proto': {'downloads': 170654, 'github_url': 'https://github.com/bluejekyll/trust-dns', 'categories': ['network-programming'], 'version': '0.23.2'}}"
RUSTSEC-2021-0025,2021-02-15T12:00:00Z,jsonrpc-quic,maidsafe,sn_api,pkg:cargo/jsonrpc-quic,[],[],[],https://github.com/maidsafe/safe-api,0.0.0-0,,"{'safe-api': {'downloads': 223, 'github_url': 'https://github.com/maidsafe/safe-api', 'categories': [], 'version': '0.15.1'}}"
RUSTSEC-2022-0070,2022-11-30T12:00:00Z,secp256k1,rust-bitcoin,rust-secp256k1,rust-bitcoin,rust-secp256k1,pkg:cargo/secp256k1,[],['memory-corruption'],[],https://github.com/rust-bitcoin/rust-secp256k1/,0.24.0,0.24.2,"{'bitcoinconsensus': {'downloads': 5834, 'github_url': 'https://github.com/rust-bitcoin/rust-bitcoinconsensus/', 'categories': [], 'version': '0.17.1'}, 'parity-crypto': {'downloads': 222544, 'github_url': 'https://github.com/paritytech/parity-common', 'categories': [], 'version': '0.9.0'}, 'libsecp256k1': {'downloads': 2343740, 'github_url': 'https://github.com/paritytech/libsecp256k1', 'categories': [], 'version': '0.7.1'}, 'bip32': {'downloads': 89322, 'github_url': 'https://github.com/iqlusioninc/crates/tree/main/bip32', 'categories': ['no-std', 'cryptography'], 'version': '0.5.1'}, 'web3': {'downloads': 147249, 'github_url': 'https://github.com/tomusdrw/rust-web3', 'categories': [], 'version': '0.19.0'}, 'bitcoin': {'downloads': 8397, 'github_url': 'https://github.com/rust-bitcoin/rust-bitcoin/', 'categories': ['cryptography::cryptocurrencies'], 'version': '0.31.0'}, 'sp-core': {'downloads': 2023, 'github_url': 'https://github.com/paritytech/polkadot-sdk.git', 'categories': [], 'version': '26.0.0'}, 'sp-io': {'downloads': 1931, 'github_url': 'https://github.com/paritytech/polkadot-sdk.git', 'categories': [], 'version': '28.0.0'}, 'miniscript': {'downloads': 72, 'github_url': 'https://github.com/rust-bitcoin/rust-miniscript/', 'categories': [], 'version': '11.0.0'}, 'enr': {'downloads': 116, 'github_url': 'https://github.com/sigp/enr', 'categories': ['cryptography::cryptocurrencies'], 'version': '0.10.0'}}"
RUSTSEC-2020-0039,2020-09-03T12:00:00Z,simple-slab,nathansizemore,simple-slab,pkg:cargo/simple-slab,[],[],[],https://github.com/nathansizemore/simple-slab,0.0.0-0,0.3.3,"{'hydrogen': {'downloads': 514, 'github_url': 'https://github.com/nathansizemore/hydrogen', 'categories': [], 'version': '0.1.5'}}"
RUSTSEC-2021-0137,2021-10-22T12:00:00Z,sodiumoxide,sodiumoxide,sodiumoxide,pkg:cargo/sodiumoxide,[],[],['cryptography'],https://github.com/sodiumoxide/sodiumoxide,0.0.0-0,,"{'maidsafe_types': {'downloads': 4191, 'github_url': 'https://github.com/maidsafe/maidsafe_types', 'categories': [], 'version': '0.2.3'}, 'nat_traversal': {'downloads': 2003, 'github_url': 'https://github.com/maidsafe/nat_traversal', 'categories': [], 'version': '0.4.1'}, 'edcert': {'downloads': 3165, 'github_url': 'https://github.com/zombiemuffin/edcert/', 'categories': [], 'version': '9.0.1'}, 'sovrin-client': {'downloads': 553, 'github_url': None, 'categories': [], 'version': '0.1.1-15'}, 'discord': {'downloads': 3972, 'github_url': 'https://github.com/SpaceManiac/discord-rs', 'categories': [], 'version': '0.8.1'}, 'dup-crypto': {'downloads': 2972, 'github_url': 'https://git.duniter.org/libs/dubp-rs-libs', 'categories': [], 'version': '0.58.0'}, 'rdedup-lib': {'downloads': 1011, 'github_url': 'https://github.com/dpc/rdedup', 'categories': [], 'version': '3.2.0'}, 'radicle-keystore': {'downloads': 6095, 'github_url': None, 'categories': [], 'version': '0.2.0'}, 'dryoc': {'downloads': 2613, 'github_url': 'https://github.com/brndnmtthws/dryoc', 'categories': ['algorithms', 'cryptography'], 'version': '0.5.1'}, 'snow': {'downloads': 96876, 'github_url': 'https://github.com/mcginty/snow', 'categories': ['cryptography'], 'version': '0.9.4'}}"
RUSTSEC-2021-0072,2021-07-07T12:00:00Z,tokio,tokio-rs,tokio,pkg:cargo/tokio,[],['memory-corruption'],"['asynchronous', 'network-programming']",https://github.com/tokio-rs/tokio,1.8.0,1.8.1,"{'tower-service': {'downloads': 44888897, 'github_url': 'https://github.com/tower-rs/tower', 'categories': ['asynchronous', 'network-programming'], 'version': '0.3.2'}, 'tokio-rustls': {'downloads': 9633475, 'github_url': 'https://github.com/rustls/tokio-rustls', 'categories': ['asynchronous', 'cryptography', 'network-programming'], 'version': '0.24.1'}, 'reqwest': {'downloads': 3479494, 'github_url': 'https://github.com/seanmonstar/reqwest', 'categories': ['web-programming::http-client', 'wasm'], 'version': '0.11.22'}, 'tokio-util': {'downloads': 2801674, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['asynchronous'], 'version': '0.7.10'}, 'futures-util': {'downloads': 3579389, 'github_url': 'https://github.com/rust-lang/futures-rs', 'categories': [], 'version': '0.3.29'}, 'futures': {'downloads': 2768264, 'github_url': 'https://github.com/rust-lang/futures-rs', 'categories': ['asynchronous'], 'version': '0.3.29'}, 'tokio-macros': {'downloads': 1607938, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['asynchronous'], 'version': '2.2.0'}, 'tracing-subscriber': {'downloads': 871469, 'github_url': 'https://github.com/tokio-rs/tracing', 'categories': ['development-tools::profiling', 'asynchronous', 'development-tools::debugging'], 'version': '0.3.18'}, 'h2': {'downloads': 39989, 'github_url': 'https://github.com/hyperium/h2', 'categories': ['web-programming', 'network-programming', 'asynchronous'], 'version': '0.4.0'}, 'hyper': {'downloads': 44804, 'github_url': 'https://github.com/hyperium/hyper', 'categories': ['web-programming::http-server', 'web-programming::http-client', 'network-programming'], 'version': '1.0.1'}}"
RUSTSEC-2022-0027,2022-05-03T12:00:00Z,openssl-src,,,pkg:cargo/openssl-src,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N'}]",['crypto-failure'],[],https://github.com/alexcrichton/openssl-src-rs,300.0.0,300.0.6,"{'datachannel-sys': {'downloads': 98, 'github_url': 'https://github.com/lerouxrgd/datachannel-rs', 'categories': ['network-programming'], 'version': '0.19.1'}, 'openssl-sys': {'downloads': 370979, 'github_url': 'https://github.com/sfackler/rust-openssl', 'categories': ['external-ffi-bindings', 'cryptography'], 'version': '0.9.96'}, 'tongsuo-sys': {'downloads': 489, 'github_url': 'https://github.com/zh-jq/rust-tongsuo', 'categories': ['external-ffi-bindings', 'cryptography'], 'version': '0.9.96'}, 'summa-core': {'downloads': 32, 'github_url': None, 'categories': [], 'version': '0.22.7'}}"
RUSTSEC-2020-0107,2020-11-10T12:00:00Z,hashconsing,AdrienChampion,hashconsing,pkg:cargo/hashconsing,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]","['memory-corruption', 'thread-safety']","['caching', 'compression', 'concurrency', 'memory-management', 'data-structures']",https://github.com/AdrienChampion/hashconsing,0.0.0-0,1.1.0,"{'zdd': {'downloads': 285, 'github_url': 'https://github.com/AdrienChampion/zdd', 'categories': ['science', 'compression', 'data-structures'], 'version': '0.3.0'}}"
RUSTSEC-2023-0017,2023-03-04T12:00:00Z,maligned,tylerhawkes,maligned,pkg:cargo/maligned,[],['memory-corruption'],"['no-std', 'memory-management', 'embedded']",https://github.com/tylerhawkes/maligned,0.0.0-0,,"{'reductionist': {'downloads': 40, 'github_url': 'https://github.com/stackhpc/reductionist-rs', 'categories': ['mathematics', 'simulation', 'science'], 'version': '0.8.2'}}"
RUSTSEC-2020-0042,2020-09-24T12:00:00Z,stack,arcnmx,stack-rs,pkg:cargo/stack,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H'}]",[],[],https://github.com/arcnmx/stack-rs,0.0.0-0,0.3.1,{}
RUSTSEC-2021-0009,2021-01-10T12:00:00Z,basic_dsp_matrix,liebharc,basic_dsp,pkg:cargo/basic_dsp_matrix,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",['memory-corruption'],[],https://github.com/liebharc/basic_dsp,0.0.0-0,0.9.2,"{'basic_dsp': {'downloads': 184, 'github_url': 'https://github.com/liebharc/basic_dsp', 'categories': [], 'version': '0.10.0'}}"
RUSTSEC-2020-0150,2020-12-17T12:00:00Z,disrustor,sklose,disrustor,pkg:cargo/disrustor,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H'}]","['memory-corruption', 'thread-safety']","['concurrency', 'data-structures']",https://github.com/sklose/disrustor,0.0.0-0,0.3.0,{}
